loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_macro_f1,eval_macro_precision,eval_macro_recall,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
4.219300079345703,4.53597354888916,0.0005,0.3305785123966942,20,,,,,,,,,,,,,
3.910136032104492,3.6931400299072266,0.00046503496503496505,0.6611570247933884,40,,,,,,,,,,,,,
2.664070701599121,7.722267150878906,0.0004300699300699301,0.9917355371900827,60,,,,,,,,,,,,,
,,,1.0,61,0.605318546295166,0.7603305785123967,0.7273346497478822,0.7113452248234857,0.7676879084967321,1.6023,302.069,9.986,,,,,
2.06854305267334,12.690315246582031,0.0003951048951048951,1.3140495867768596,80,,,,,,,,,,,,,
1.8542739868164062,8.02094554901123,0.00036013986013986015,1.6446280991735538,100,,,,,,,,,,,,,
1.5869301795959472,5.210623264312744,0.0003251748251748252,1.9752066115702478,120,,,,,,,,,,,,,
,,,2.0,122,0.3872317969799042,0.8388429752066116,0.821041221962881,0.8201587301587302,0.8315904139433551,1.5759,307.132,10.153,,,,,
1.4324049949645996,11.888933181762695,0.0002902097902097902,2.2975206611570247,140,,,,,,,,,,,,,
1.5029402732849122,5.186049938201904,0.00025524475524475526,2.628099173553719,160,,,,,,,,,,,,,
1.3384199142456055,5.694217205047607,0.0002202797202797203,2.958677685950413,180,,,,,,,,,,,,,
,,,3.0,183,0.37651100754737854,0.8057851239669421,0.7971186902873532,0.7693640559137634,0.8425653594771241,1.52,318.411,10.526,,,,,
1.4608285903930665,10.03299331665039,0.00018531468531468533,3.28099173553719,200,,,,,,,,,,,,,
1.3001011848449706,11.395072937011719,0.00015034965034965033,3.6115702479338845,220,,,,,,,,,,,,,
1.3789755821228027,4.65793514251709,0.0001153846153846154,3.9421487603305785,240,,,,,,,,,,,,,
,,,4.0,244,0.35441917181015015,0.8181818181818182,0.8117503411621058,0.7872161022711818,0.8469226579520698,1.4245,339.761,11.232,,,,,
,,,4.0,244,,,,,,,,,124.9443,154.949,2.441,466787869932384.0,2.0411243135811854
