time,event,epoch,global_step,loss,grad_norm,learning_rate,eval_loss,eval_accuracy,eval_macro_f1,eval_macro_precision,eval_macro_recall,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
2026-08-07T21:31:52+09:00,log,0.39215686274509803,20,5.2140960693359375,2.688946008682251,8.736842105263158e-05,,,,,,,,,,,,,
2026-08-07T21:31:57+09:00,log,0.7843137254901961,40,5.041863632202149,3.034616708755493,6.631578947368421e-05,,,,,,,,,,,,,
2026-08-07T21:32:01+09:00,log,1.0,51,,,,1.2375967502593994,0.42780748663101603,0.149812734082397,0.10695187165775401,0.25,0.8469,441.6,14.169,,,,,
2026-08-07T21:32:02+09:00,checkpoint,1.0,51,,,,,,,,,,,,,,,,
2026-08-07T21:32:04+09:00,log,1.1764705882352942,60,4.984560775756836,3.0981714725494385,4.5263157894736846e-05,,,,,,,,,,,,,
2026-08-07T21:32:09+09:00,log,1.5686274509803921,80,4.936078262329102,3.403374195098877,2.4210526315789474e-05,,,,,,,,,,,,,
2026-08-07T21:32:15+09:00,log,1.9607843137254903,100,4.837063217163086,4.45295524597168,3.1578947368421056e-06,,,,,,,,,,,,,
2026-08-07T21:32:16+09:00,log,2.0,102,,,,1.2163182497024536,0.42780748663101603,0.149812734082397,0.10695187165775401,0.25,0.7646,489.138,15.694,,,,,
2026-08-07T21:32:17+09:00,checkpoint,2.0,102,,,,,,,,,,,,,,,,
2026-08-07T21:32:17+09:00,log,2.0,102,,,,,,,,,,,,30.5785,213.026,3.336,134432149049616.0,4.9941638030257876
