eval_loss,eval_accuracy,eval_macro_f1,eval_macro_precision,eval_macro_recall,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step,loss,grad_norm,learning_rate,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.3188626766204834,0.42780748663101603,0.149812734082397,0.10695187165775401,0.25,0.9438,396.277,12.715,1.0,16,,,,,,,,
,,,,,,,,1.25,20,5.457760620117187,2.6334567070007324,0.00040666666666666667,,,,,
1.24819815158844,0.5721925133689839,0.38090814458603117,0.5014214167174693,0.40998023572338704,0.8159,458.404,14.708,2.0,32,,,,,,,,
,,,,,,,,2.5,40,5.050522232055664,7.249553203582764,0.00027333333333333333,,,,,
1.0060540437698364,0.6737967914438503,0.5134861912457613,0.7657021006195545,0.5156596469527229,0.8172,457.648,14.684,3.0,48,,,,,,,,
,,,,,,,,3.75,60,3.7770309448242188,8.875394821166992,0.00014000000000000001,,,,,
0.8530853390693665,0.7085561497326203,0.6444594793553468,0.6736224572918121,0.6281312829921729,0.8161,458.298,14.705,4.0,64,,,,,,,,
,,,,,,,,5.0,80,3.2534816741943358,7.85643196105957,6.6666666666666675e-06,,,,,
0.8466305732727051,0.7112299465240641,0.6477686385470817,0.6646565107992838,0.6367400423623637,0.8141,459.396,14.74,5.0,80,,,,,,,,
,,,,,,,,5.0,80,,,,34.1534,149.912,2.342,112539552567936.0,4.384698867797852
