time,event,epoch,global_step,eval_loss,eval_accuracy,eval_macro_f1,eval_macro_precision,eval_macro_recall,eval_runtime,eval_samples_per_second,eval_steps_per_second,loss,grad_norm,learning_rate,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
2026-08-07T20:46:20+09:00,log,1.0,16,0.9384850263595581,0.5950413223140496,0.24870466321243523,0.19834710743801653,0.3333333333333333,1.4583,331.89,10.972,,,,,,,,
2026-08-07T20:46:20+09:00,checkpoint,1.0,16,,,,,,,,,,,,,,,,
2026-08-07T20:46:21+09:00,log,1.25,20,,,,,,,,,4.0569305419921875,2.5776827335357666,4.3333333333333334e-05,,,,,
2026-08-07T20:46:27+09:00,log,2.0,32,0.929520308971405,0.5950413223140496,0.24870466321243523,0.19834710743801653,0.3333333333333333,1.3542,357.402,11.815,,,,,,,,
2026-08-07T20:46:27+09:00,checkpoint,2.0,32,,,,,,,,,,,,,,,,
2026-08-07T20:46:27+09:00,log,2.0,32,,,,,,,,,,,,14.3856,142.365,2.224,61439997453120.0,3.9516639709472656
