eval_loss,eval_accuracy,eval_macro_f1,eval_macro_precision,eval_macro_recall,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step,loss,grad_norm,learning_rate,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.0329667329788208,0.5950413223140496,0.24870466321243523,0.19834710743801653,0.3333333333333333,1.415,342.041,11.307,1.0,16,,,,,,,,
,,,,,,,,1.25,20,4.2615314483642575,3.899441719055176,0.00040666666666666667,,,,,
0.8339118361473083,0.6962809917355371,0.6041309822771653,0.7277777777777779,0.5657135076252723,1.3407,361.007,11.934,2.0,32,,,,,,,,
,,,,,,,,2.5,40,3.5519424438476563,8.098919868469238,0.00027333333333333333,,,,,
0.6131677627563477,0.7272727272727273,0.702369104250935,0.6841178111375069,0.7357162309368191,1.3337,362.906,11.997,3.0,48,,,,,,,,
,,,,,,,,3.75,60,2.2839773178100584,6.472030162811279,0.00014000000000000001,,,,,
0.5035314559936523,0.7830578512396694,0.7546983361759952,0.7511088549132028,0.7765386710239651,1.3166,367.606,12.152,4.0,64,,,,,,,,
,,,,,,,,5.0,80,1.70330753326416,4.462881088256836,6.6666666666666675e-06,,,,,
0.4593658149242401,0.7871900826446281,0.7797641724515582,0.7571771771771773,0.8117102396514161,1.3096,369.575,12.217,5.0,80,,,,,,,,
,,,,,,,,5.0,80,,,,36.1905,141.474,2.211,152941410213696.0,2.9501896858215333
