status,study,task,model,method,seed,run_mode,experiment_id,variant,run_signature,train_rows,validation_rows,test_rows,epochs_requested,learning_rate,class_weighting,train_seconds,trainable_params,total_params,trainable_parameter_ratio,test_loss,test_accuracy,test_macro_f1,test_macro_precision,test_macro_recall,true_label_counts,predicted_label_counts,predicted_class_count,predicted_class_coverage,majority_prediction_rate,normalized_prediction_entropy,constant_prediction_collapse,near_constant_prediction,epochs_completed,global_step,best_validation_macro_f1
COMPLETE,study2,tweet_emotion,FacebookAI/roberta-base,bitfit,42,FOLLOWUP,collapse_followup_v2_pilot,baseline,8062d0c8316a17782a6dc9c6ad0ec81526f4eda199ee1ead9b24f8069822ab52,1024,374,1421,2,0.0001,none,14.692035417014267,695812,124648708,0.0055821838121257001,1.2979813814163208,0.39268121041520032,0.14098029307731161,0.0981703026037999,0.25,"[558, 358, 123, 382]","[1421, 0, 0, 0]",1,0.25,1,-0,True,True,2,32,0.14981273408239701
COMPLETE,study2,tweet_emotion,FacebookAI/roberta-base,bitfit,52,FOLLOWUP,collapse_followup_v2_pilot,baseline,099845e5238c1c0f6779da1600bf6dbddf6ccb849fdb18351f65a0039e24e8fa,1024,374,1421,2,0.0001,none,14.061976958997548,695812,124648708,0.0055821838121257001,1.2979310750961304,0.39268121041520032,0.14098029307731161,0.0981703026037999,0.25,"[558, 358, 123, 382]","[1421, 0, 0, 0]",1,0.25,1,-0,True,True,2,32,0.14981273408239701
COMPLETE,study2,tweet_emotion,FacebookAI/roberta-base,bitfit,62,FOLLOWUP,collapse_followup_v2_pilot,baseline,97a926ba21f09d3dcfb763bbc9349dfc14ac41a75d924977d6de12a9b707d80a,1024,374,1421,2,0.0001,none,14.214851166994777,695812,124648708,0.0055821838121257001,1.2976263761520386,0.39268121041520032,0.14098029307731161,0.0981703026037999,0.25,"[558, 358, 123, 382]","[1421, 0, 0, 0]",1,0.25,1,-0,True,True,2,32,0.14981273408239701
COMPLETE,study2,tweet_emotion,FacebookAI/roberta-base,bitfit,72,FOLLOWUP,collapse_followup_v2_pilot,baseline,2a3597a9feb699d5b83d6dbede3be85b2700bb60f169d10e7905e11d93e2ff7f,1024,374,1421,2,0.0001,none,14.05897879099939,695812,124648708,0.0055821838121257001,1.2935500144958496,0.39268121041520032,0.14098029307731161,0.0981703026037999,0.25,"[558, 358, 123, 382]","[1421, 0, 0, 0]",1,0.25,1,-0,True,True,2,32,0.14981273408239701
COMPLETE,study2,tweet_emotion,FacebookAI/roberta-base,bitfit,82,FOLLOWUP,collapse_followup_v2_pilot,baseline,e027f134e0a6267937d501f5098a184afaf9adc2e916d0bb1b30570f7dfc62ab,1024,374,1421,2,0.0001,none,14.038482500007376,695812,124648708,0.0055821838121257001,1.2899792194366455,0.39268121041520032,0.14098029307731161,0.0981703026037999,0.25,"[558, 358, 123, 382]","[1421, 0, 0, 0]",1,0.25,1,-0,True,True,2,32,0.14981273408239701
COMPLETE,study2,tweet_emotion,vinai/bertweet-base,lora,42,FOLLOWUP,collapse_followup_v2_pilot,baseline,b41bd79fddc3556f15d311f0fe32f42a92ddbd18085b8f32e3ae6b290e5534da,1024,374,1421,2,0.0001,none,15.849456958996598,888580,135791624,0.0065437025777082001,1.301056981086731,0.39268121041520032,0.14098029307731161,0.0981703026037999,0.25,"[558, 358, 123, 382]","[1421, 0, 0, 0]",1,0.25,1,-0,True,True,2,32,0.14981273408239701
COMPLETE,study2,tweet_emotion,vinai/bertweet-base,lora,52,FOLLOWUP,collapse_followup_v2_pilot,baseline,8eb5e4d8a91686eb3ba7a23dca61eacce0e0a728f232ab2c2d5017cddc01f3f6,1024,374,1421,2,0.0001,none,12.92793583299499,888580,135791624,0.0065437025777082001,1.2923742532730105,0.39268121041520032,0.14098029307731161,0.0981703026037999,0.25,"[558, 358, 123, 382]","[1421, 0, 0, 0]",1,0.25,1,-0,True,True,2,32,0.14981273408239701
COMPLETE,study2,tweet_emotion,vinai/bertweet-base,lora,62,FOLLOWUP,collapse_followup_v2_pilot,baseline,fd828b1e1f0d98d3713e17bf6360db84a242b8f73757cb278ab9c035ea3ce857,1024,374,1421,2,0.0001,none,13.068635499977972,888580,135791624,0.0065437025777082001,1.2957664728164673,0.39268121041520032,0.14098029307731161,0.0981703026037999,0.25,"[558, 358, 123, 382]","[1421, 0, 0, 0]",1,0.25,1,-0,True,True,2,32,0.14981273408239701
COMPLETE,study2,tweet_emotion,vinai/bertweet-base,lora,72,FOLLOWUP,collapse_followup_v2_pilot,baseline,5dfe5dc19d38e60c05618ab782798d77f13f3990ca770b1598ef4c0cbe96202c,1024,374,1421,2,0.0001,none,15.312441915972158,888580,135791624,0.0065437025777082001,1.2941783666610718,0.39268121041520032,0.14098029307731161,0.0981703026037999,0.25,"[558, 358, 123, 382]","[1421, 0, 0, 0]",1,0.25,1,-0,True,True,2,32,0.14981273408239701
COMPLETE,study2,tweet_emotion,vinai/bertweet-base,lora,82,FOLLOWUP,collapse_followup_v2_pilot,baseline,011aa6458fc1eae87c5be5a706c150f8aec7639fa3eba326ab43950c027df1f6,1024,374,1421,2,0.0001,none,12.507667624973692,888580,135791624,0.0065437025777082001,1.2927862405776978,0.39268121041520032,0.14098029307731161,0.0981703026037999,0.25,"[558, 358, 123, 382]","[1421, 0, 0, 0]",1,0.25,1,-0,True,True,2,32,0.14981273408239701
COMPLETE,study2,finance_sentiment,FacebookAI/roberta-base,adapter,42,FOLLOWUP,collapse_followup_v2_pilot,higher_lr,c1a4e38a5ec389684b14cc071bff227eb722089127dc16c8af387f3ff672f172,1024,484,484,2,0.00050000000000000001,none,15.496088416024577,1782531,125837571,0.0141653322281625,0.92953062057495117,0.59297520661157022,0.24816255944660601,0.19765840220385661,0.33333333333333331,"[61, 287, 136]","[0, 484, 0]",1,0.33333333333333331,1,-0,True,True,2,32,0.2487046632124352
COMPLETE,study2,finance_sentiment,FacebookAI/roberta-base,adapter,52,FOLLOWUP,collapse_followup_v2_pilot,higher_lr,4b681b41ef6888800baf082ccc36d28a968fb5559b6014300af71aec71e97042,1024,484,484,2,0.00050000000000000001,none,15.129974666982887,1782531,125837571,0.0141653322281625,0.92100524902343761,0.59297520661157022,0.24816255944660601,0.19765840220385661,0.33333333333333331,"[61, 287, 136]","[0, 484, 0]",1,0.33333333333333331,1,-0,True,True,2,32,0.2487046632124352
COMPLETE,study2,finance_sentiment,FacebookAI/roberta-base,adapter,62,FOLLOWUP,collapse_followup_v2_pilot,higher_lr,0a9462fe740de76dd0f32c86e35f3b32d720ce6b9f49fc46139e1327eeb968f2,1024,484,484,2,0.00050000000000000001,none,15.640516208019108,1782531,125837571,0.0141653322281625,0.91976898908615123,0.59297520661157022,0.24816255944660601,0.19765840220385661,0.33333333333333331,"[61, 287, 136]","[0, 484, 0]",1,0.33333333333333331,1,-0,True,True,2,32,0.2487046632124352
COMPLETE,study2,finance_sentiment,FacebookAI/roberta-base,adapter,72,FOLLOWUP,collapse_followup_v2_pilot,higher_lr,ed5a8878e4ca93654d60ed203c199d737375e0702fc6383647e4a5d71e25da24,1024,484,484,2,0.00050000000000000001,none,15.594604499987328,1782531,125837571,0.0141653322281625,0.91872233152389515,0.59297520661157022,0.24816255944660601,0.19765840220385661,0.33333333333333331,"[61, 287, 136]","[0, 484, 0]",1,0.33333333333333331,1,-0,True,True,2,32,0.2487046632124352
