eval_loss,eval_accuracy,eval_macro_f1,eval_macro_precision,eval_macro_recall,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step,loss,grad_norm,learning_rate,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.2569385766983032,0.42780748663101603,0.149812734082397,0.10695187165775401,0.25,0.8406,444.94,14.276,1.0,16,,,,,,,,
,,,,,,,,1.25,20,5.1601001739501955,3.733049154281616,4.3333333333333334e-05,,,,,
1.2501580715179443,0.42780748663101603,0.149812734082397,0.10695187165775401,0.25,0.7723,484.274,15.538,2.0,32,,,,,,,,
,,,,,,,,2.0,32,,,,15.0354,136.212,2.128,42535279656960.0,5.118433117866516
