analysis,metric,task_blocks,friedman_q,friedman_p,kendall_w,iman_davenport_f,iman_davenport_p,mean_rank_full_ft,mean_rank_lora,mean_rank_adapter,mean_rank_ia3,mean_rank_bitfit
legacy_13_tasks,f1_mean,13,24.80000000000001,5.51890886809782e-05,0.4769230769230771,10.941176470588244,2.190829673474629e-06,1.3846153846153846,3.1538461538461537,2.5384615384615383,3.769230769230769,4.153846153846154
exclude_group_split_task_12,f1_mean,12,21.666666666666657,0.0002334802830032911,0.4513888888888887,9.050632911392398,2.006612060634645e-05,1.4166666666666667,3.1666666666666665,2.5833333333333335,3.6666666666666665,4.166666666666667
exclude_collapse_tasks_11,f1_mean,11,22.618181818181796,0.0001509211834373409,0.514049586776859,10.578231292516985,6.083960647272179e-06,1.4545454545454546,3.1818181818181817,2.272727272727273,4.090909090909091,4.0
strict_10_tasks,f1_mean,10,19.120000000000005,0.000744403953871963,0.4780000000000001,8.241379310344831,7.952820960605982e-05,1.5,3.2,2.3,4.0,4.0
