study,method,task_model_conditions,macro_f1_mean,time_saving_vs_full_pct_mean,trainable_ratio_mean,status
study1,adapter,1,0.8118812376906004,18.644893068942597,0.0130924175239096,provisional_group_split_unverified
study1,bitfit,1,0.8068492524951034,21.421920907065683,0.0051465251989106,provisional_group_split_unverified
study1,full_ft,1,0.8147561452305476,0.0,1.0,provisional_group_split_unverified
study1,ia3,1,0.7998398342345208,14.17174526007951,0.00457328901931,provisional_group_split_unverified
study1,lora,1,0.8093203430649674,5.682039775846024,0.0065325243775344,provisional_group_split_unverified
study2,adapter,18,0.6031788225836501,12.64248697459745,0.013631663144698606,primary
study2,bitfit,18,0.5989410616125334,15.562323394781666,0.005364122540539906,primary
study2,full_ft,18,0.7341858224984027,0.0,1.0,primary
study2,ia3,18,0.6313158066298107,11.317273054736857,0.0047663236079794995,primary
study2,lora,18,0.6080814949906439,4.212641984581943,0.006805145019627045,primary
study3,adapter,3,0.8815850765490088,9.670851799362403,0.0159470051780452,primary
study3,bitfit,3,0.8621872908569981,13.591891558946578,0.0062877398217056,primary
study3,full_ft,3,0.8878738602126348,0.0,1.0,primary
study3,ia3,3,0.8604485420817712,8.19468549680886,0.005582960182724767,primary
study3,lora,3,0.8754168581045808,-3.1815602377770715,0.007966366612586734,primary
