method,method_label,task_model_conditions,macro_f1_mean,macro_f1_sd_mean,macro_f1_wins,time_saving_vs_full_pct_mean,geometric_speedup_vs_full,fastest_conditions,trainable_ratio_mean,smallest_ratio_conditions
full_ft,Full FT,22,0.7588055695836229,0.011956649909023898,19,0.0,1.0,0,1.0,0
ia3,IA3,22,0.6702213627189285,0.006224096453455091,2,11.021214397080435,1.1258149002905438,0,0.004868908841414331,22
lora,LoRA,22,0.6536835376004683,0.009104493023116335,0,3.2711324902268077,1.0344728311195825,0,0.006951101571299153,0
adapter,Adapter,22,0.6506297851746967,0.0048008133201715595,1,12.510100636808358,1.1459370178487784,0,0.013922880439210005,0
bitfit,BitFit,22,0.6442886470041681,0.004205327084951482,0,15.559973485907976,1.1875644854577303,22,0.005480179563352077,0
