study,task,method,f1_mean,f1_sd,train_seconds_mean,trainable_ratio_mean
study2,tweet_offensive,lora,0.7697421597457926,0.007648383544895601,84.77410118000117,0.0067993309270327
study2,tweet_sentiment,adapter,0.7090180877267775,0.00254390974457975,187.33411416999877,0.0136316631826579
study2,tweet_sentiment,bitfit,0.7038353711917485,0.00231606164822675,180.3374100200017,0.00536412257952665
study2,tweet_sentiment,full_ft,0.7176561111153669,0.00135479033423445,219.7967492900032,1.0
study2,tweet_sentiment,ia3,0.6892905572585892,0.001516864671573,194.59046153999515,0.0047663236848842
study2,tweet_sentiment,lora,0.7088313829552406,0.0025685515638863,214.48062747000367,0.00680514509589975
study3,comment_kmhas_binary,adapter,0.8727726682313364,0.0011940095491995,751.4267073600029,0.0159357252647414
study3,comment_kmhas_binary,bitfit,0.8470736446354502,0.0004826373447762,721.1849153199989,0.0062762266920931
study3,comment_kmhas_binary,full_ft,0.8874281245018525,0.0024354325666588,851.5890352200018,1.0
study3,comment_kmhas_binary,ia3,0.8441154987266006,0.0011479412896425,775.7908716199978,0.0055715676639401
study3,comment_kmhas_binary,lora,0.8665193461789814,0.0010831268299512,871.4888305400033,0.0079550561862242
study3,movie_nsmc,adapter,0.9017605212020052,0.0006383890580031,1220.4955209000036,0.0159357252647414
study3,movie_nsmc,bitfit,0.8811694452742914,0.0001927238068943,1164.041204700002,0.0062762266920931
study3,movie_nsmc,full_ft,0.9096036134437984,0.0005902331505159,1335.565888860004,1.0
study3,movie_nsmc,ia3,0.8818081318884501,0.0003507575883816,1257.2022676399968,0.0055715676639401
study3,movie_nsmc,lora,0.8954903193608251,0.0026406590812496,1368.4194831599975,0.0079550561862242
study3,news_ynat,adapter,0.8702220402136845,0.0007450594793206,436.61978147999616,0.0159695650046528
study3,news_ynat,bitfit,0.8583187826612526,0.0011513260015584,417.5765382199985,0.0063107660809306
study3,news_ynat,full_ft,0.8665898426922535,0.0023772127121698,477.88458603999754,1.0
study3,news_ynat,ia3,0.855421995630263,0.0028670458002381,430.9763045800006,0.0056057452202941
study3,news_ynat,lora,0.864240908773936,0.0018362949841748,500.5745278199931,0.0079889874653118
