loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_macro_f1,eval_macro_precision,eval_macro_recall,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
5.246645736694336,2.6660993099212646,8.736842105263158e-05,0.39215686274509803,20,,,,,,,,,,,,,
5.057794570922852,3.212448835372925,6.631578947368421e-05,0.7843137254901961,40,,,,,,,,,,,,,
,,,1.0,51,1.2318334579467773,0.42780748663101603,0.149812734082397,0.10695187165775401,0.25,0.8398,445.353,14.289,,,,,
4.979342651367188,2.820406913757324,4.5263157894736846e-05,1.1764705882352942,60,,,,,,,,,,,,,
4.961813735961914,3.8881795406341553,2.4210526315789474e-05,1.5686274509803921,80,,,,,,,,,,,,,
4.843695068359375,5.0355424880981445,3.1578947368421056e-06,1.9607843137254903,100,,,,,,,,,,,,,
,,,2.0,102,1.2125895023345947,0.42780748663101603,0.149812734082397,0.10695187165775401,0.25,0.775,482.601,15.485,,,,,
,,,2.0,102,,,,,,,,,30.0787,216.565,3.391,134432149049616.0,5.009068217932009
