time,event,epoch,global_step,eval_loss,eval_accuracy,eval_macro_f1,eval_macro_precision,eval_macro_recall,eval_runtime,eval_samples_per_second,eval_steps_per_second,loss,grad_norm,learning_rate,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
2026-08-07T20:52:55+09:00,log,1.0,16,1.0435799360275269,0.5950413223140496,0.24870466321243523,0.19834710743801653,0.3333333333333333,1.4093,343.443,11.353,,,,,,,,
2026-08-07T20:52:56+09:00,checkpoint,1.0,16,,,,,,,,,,,,,,,,
2026-08-07T20:52:57+09:00,log,1.25,20,,,,,,,,,4.256328201293945,2.628183603286743,8.133333333333334e-05,,,,,
2026-08-07T20:53:03+09:00,log,2.0,32,1.0389878749847412,0.5950413223140496,0.24870466321243523,0.19834710743801653,0.3333333333333333,1.3482,358.997,11.868,,,,,,,,
2026-08-07T20:53:03+09:00,checkpoint,2.0,32,,,,,,,,,,,,,,,,
2026-08-07T20:53:06+09:00,log,2.5,40,,,,,,,,,4.184305572509766,4.702376365661621,5.466666666666666e-05,,,,,
2026-08-07T20:53:10+09:00,log,3.0,48,1.0346466302871704,0.5950413223140496,0.24870466321243523,0.19834710743801653,0.3333333333333333,1.3376,361.838,11.962,,,,,,,,
2026-08-07T20:53:10+09:00,checkpoint,3.0,48,,,,,,,,,,,,,,,,
2026-08-07T20:53:10+09:00,log,3.0,48,,,,,,,,,,,,22.7551,225.005,3.516,91884891713472.0,4.2153786818186445
