time,event,epoch,global_step,eval_loss,eval_accuracy,eval_macro_f1,eval_macro_precision,eval_macro_recall,eval_runtime,eval_samples_per_second,eval_steps_per_second,loss,grad_norm,learning_rate,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
2026-08-07T20:59:34+09:00,log,1.0,16,0.9553595185279846,0.5950413223140496,0.24870466321243523,0.19834710743801653,0.3333333333333333,1.3448,359.91,11.898,,,,,,,,
2026-08-07T20:59:34+09:00,checkpoint,1.0,16,,,,,,,,,,,,,,,,
2026-08-07T20:59:36+09:00,log,1.25,20,,,,,,,,,4.123474884033203,3.437943935394287,4.3333333333333334e-05,,,,,
2026-08-07T20:59:42+09:00,log,2.0,32,0.9348194599151611,0.5950413223140496,0.24870466321243523,0.19834710743801653,0.3333333333333333,1.2512,386.815,12.787,,,,,,,,
2026-08-07T20:59:42+09:00,checkpoint,2.0,32,,,,,,,,,,,,,,,,
2026-08-07T20:59:42+09:00,log,2.0,32,,,,,,,,,,,,17.7886,115.13,1.799,60598309020480.0,3.994544506072998
