eval_loss,eval_accuracy,eval_macro_f1,eval_macro_precision,eval_macro_recall,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step,loss,grad_norm,learning_rate,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.0283397436141968,0.5950413223140496,0.24870466321243523,0.19834710743801653,0.3333333333333333,1.411,343.03,11.34,1.0,16,,,,,,,,
,,,,,,,,1.25,20,4.224359130859375,3.5590810775756836,0.00040666666666666667,,,,,
0.8312720656394958,0.7086776859504132,0.6210232499127732,0.7238612913099717,0.5824891067538126,1.4235,340.004,11.24,2.0,32,,,,,,,,
,,,,,,,,2.5,40,3.493604278564453,6.637477874755859,0.00027333333333333333,,,,,
0.6133025884628296,0.7355371900826446,0.7140447110534659,0.7010793541475361,0.7346541394335512,1.3102,369.408,12.212,3.0,48,,,,,,,,
,,,,,,,,3.75,60,2.308134651184082,9.28187370300293,0.00014000000000000001,,,,,
0.5735723376274109,0.7355371900826446,0.7058688195931748,0.6900935807519311,0.7504357298474945,1.3178,367.288,12.142,4.0,64,,,,,,,,
,,,,,,,,5.0,80,1.887063217163086,5.92205286026001,6.6666666666666675e-06,,,,,
0.5229898691177368,0.7706611570247934,0.7504110013653431,0.7318255548182555,0.7781318082788671,1.3358,362.338,11.978,5.0,80,,,,,,,,
,,,,,,,,5.0,80,,,,45.9775,111.359,1.74,150846211301184.0,2.978290319442749
