loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_macro_f1,eval_macro_precision,eval_macro_recall,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
4.124841690063477,2.4896366596221924,9.035087719298246e-05,0.3305785123966942,20,,,,,,,,,,,,,
3.778833770751953,4.15277624130249,7.280701754385966e-05,0.6611570247933884,40,,,,,,,,,,,,,
3.799423599243164,1.782593846321106,5.526315789473685e-05,0.9917355371900827,60,,,,,,,,,,,,,
,,,1.0,61,0.9149988889694214,0.5950413223140496,0.24870466321243523,0.19834710743801653,0.3333333333333333,1.6129,300.088,9.92,,,,,
3.5744285583496094,3.1438515186309814,3.771929824561404e-05,1.3140495867768596,80,,,,,,,,,,,,,
3.585537338256836,2.985901355743408,2.0175438596491227e-05,1.6446280991735538,100,,,,,,,,,,,,,
3.408565902709961,4.74237060546875,2.631578947368421e-06,1.9752066115702478,120,,,,,,,,,,,,,
,,,2.0,122,0.8586952090263367,0.5991735537190083,0.25952380952380955,0.3666666666666667,0.338235294117647,1.4204,340.76,11.265,,,,,
,,,2.0,122,,,,,,,,,46.5375,166.403,2.622,236564831441952.0,3.6941441473413685
